"","0","1","p","test"
"n","4528","472","",""
"v1_5 (median [IQR])","65 [41, 87]","68 [43, 88]","NA","nonnorm"
"v1_6 = 1 (%)","2887 (63.8)","306 (64.8)","0.681",""
"v2_1_1 = 1 (%)","2211 (48.8)","248 (52.5)","0.137",""
"v2_1_2 = 1 (%)","2714 (59.9)","293 (62.1)","0.393",""
"v2_1_3 = 1 (%)","2232 (49.3)","239 (50.6)","0.612",""
"v2_1_4 = 1 (%)","2456 (54.2)","262 (55.5)","0.633",""
"v2_1_5 = 1 (%)","2237 (49.4)","246 (52.1)","0.283",""
"v2_5 = 1 (%)","2253 (49.8)","218 (46.2)","0.153",""
"v7_4 (median [IQR])","1 [0, 1]","1 [0, 1]","NA","nonnorm"
"age_group (%)","","","0.998",""
"   1","2290 (50.6)","238 (50.4)","",""
"   2","909 (20.1)","95 (20.1)","",""
"   3","1329 (29.4)","139 (29.4)","",""
