"","0","1","p","test"
"n","4552","448","",""
"v1_5 (median [IQR])","65 [41, 87]","64 [44, 89]","NA","nonnorm"
"v1_6 = 1 (%)","2945 (64.7)","300 (67.0)","0.364",""
"v2_1_1 = 1 (%)","2255 (49.5)","241 (53.8)","0.095",""
"v2_1_2 = 1 (%)","2693 (59.2)","265 (59.2)","1.000",""
"v2_1_3 = 1 (%)","2245 (49.3)","220 (49.1)","0.971",""
"v2_1_4 = 1 (%)","2501 (54.9)","253 (56.5)","0.568",""
"v2_1_5 = 1 (%)","2198 (48.3)","217 (48.4)","0.991",""
"v2_5 (median [IQR])","1 [0, 1]","1 [0, 1]","NA","nonnorm"
"v7_4 (median [IQR])","1 [0, 1]","0 [0, 1]","NA","nonnorm"
"age_group (%)","","","0.490",""
"   1","2293 (50.4)","220 (49.1)","",""
"   2","928 (20.4)","102 (22.8)","",""
"   3","1331 (29.2)","126 (28.1)","",""
